所在地,妖怪数量,妖怪名称
盘丝岭盘丝洞,8,"蜘蛛精, 蜜蜂精, 蚂蜂精, 蠦蜂精, 班毛精, 牛蜢精, 抹蜡精, 蜻蜓精"
未知,7,"蛟魔王, 鹏魔王, 狮狔王, 猕猴王, 𤟹狨王, 独角鬼王, 六耳猕猴"
竹节山九曲盘桓洞,7,"九灵元圣, 猱狮怪, 雪狮怪, 狻猊狮怪, 抟象狮怪, 白泽狮怪, 伏狸狮怪"
平顶山莲花洞,6,"金角大王, 银角大王, 精细鬼, 伶俐虫, 巴山虎, 倚海龙"
荆棘岭木仙庵,6,"劲节十八公, 孤直公, 凌空子, 拂云叟, 杏仙, 赤身鬼使"
豹头山虎口洞,4,"黄狮精, 刁钻古怪, 古怪刁钻, 青脸儿怪"
麒麟山獬豸洞,4,"赛太岁部下先锋, 有来有去, 猩猩怪, 赛太岁"
狮驼岭狮驼洞,3,"小钻风, 青毛狮子怪, 黄牙老象怪"
车迟国,3,"虎力大仙, 鹿力大仙, 羊力大仙"
大唐双叉岭,3,"寅将军, 熊山君, 特处士"
青龙山玄英洞,3,"辟寒大王, 辟暑大王, 辟尘大王"
乱石山碧波潭,3,"奔波儿灞, 灞波儿奔, 九头虫"
傲来国花果山,2,"通臂猿猴, 赤尻马猴"
隐雾山折岳连环洞,2,"南山大王, 铁背苍狼怪"
黑风山,2,"白衣秀士（白花蛇怪）, 凌虚子（苍狼怪）"
黄风岭黄风洞,2,"虎先锋, 黄风怪"
积雷山摩云洞,2,"牛魔王, 玉面公主"
柳林坡清华仙府,2,"白鹿怪, 白面狐狸精"
通天河水鼋之第,2,"灵感大王, 斑衣鳜婆"
压龙山,1,狐阿七大王
七绝山,1,蟒蛇精
乌鸡国,1,青毛狮子怪
压龙山压龙洞,1,九尾狐狸精
碗子山波月洞,1,黄袍怪
狮驼国,1,云程万里鹏
白虎岭,1,白骨精
小西天小雷音寺,1,黄眉老佛
天竺国,1,玉兔精
坎源山水脏洞,1,混世魔王
毒敌山琵琶洞,1,蝎子精
翠云山芭蕉洞,1,铁扇公主
钻头号山火云洞,1,红孩儿
金兜山金兜洞,1,独角兕大王
解阳山聚仙庵,1,如意真仙
陷空山无底洞,1,金鼻白毛老鼠精
黄花观,1,百眼魔君
黑水河,1,鼍龙怪
黑风山黑风洞,1,熊罴怪
